normalized_score,male,female
65,897,325
66,75,20
67,6,7
68,79,31
69,104,44
70,314,174
71,792,435
72,934,510
73,680,381
74,1655,901
75,998,536
76,3209,1777
77,1896,1100
78,10829,5044
79,3853,2146
80,3496,2207
81,1623,1101
82,1653,1214
83,3108,2269
84,1368,1112
85,4341,3611
86,1413,1283
87,2988,2702
88,1478,1345
89,3147,2878
90,1765,1578
91,3250,3219
92,1719,1687
93,5540,5409
94,2022,1896
95,4162,4125
96,2230,2166
97,4627,4619
98,2309,2530
99,7507,8042
100,2631,2804
101,5611,6164
102,2883,3248
103,6110,6855
104,3138,3494
105,6615,7452
106,3342,3818
107,10393,11811
108,3511,3995
109,7197,8350
110,3546,4053
111,3524,4200
112,7165,8013
113,3344,3820
114,10301,11506
115,3112,3423
116,6130,6423
117,2831,2847
118,5282,5196
119,2542,2495
120,4163,3820
121,3336,2865
122,2431,2016
123,1164,897
124,1286,1069
125,106,83
126,409,341
127,117,117
